Vehicle full name,Manufacturing,Model,Top speed (km/hr),Price (INR),Fuel Type,Wheelers type,Battery capacity [kWh],Full charging time (HR),Kerb weight (KG),Range (km/hr),Fast Charging, Drive Type, Number of Seats,boot space (L), Number of Airbags,Type of brakes,Max Torque (N-M),Type of Vehicle
Hero Electric Optima,Hero Electric,Optima,25,52000,Electric,Two wheeler,1.87,5,80,50,YES,Hub Motor,2,NA,NA,Disc,,Scooters
Okinawa Praise,Okinawa Praise,pro,58,80615,Electric,Two wheeler,3.3,5,150,88,No,Hub Motor,2,NA,NA,Disc,40,Scooters
Yakuza Rubie 60V,Yakuza Rubie,RUBIE 60V,25,45000,Electric,Two wheeler,,8,,50,YES,,2,NA,NA,Disc,,Scooters
Lectrix E 1,Lactrix Motors,Lectrix E 1,25,50000,Electric,Two wheeler,,5,84,70,YES,Chain,2,NA,NA,Disc,,Scooters
Evolet Pony EZ,Evolet Pony,Pony EZ,25,41197,Electric,Two wheeler,1.15,9,88,60,YES,Hub Motor,2,NA,NA,Disc,,Scooters
Pony Classic,Evolet Pony,Pony Classic,25,51197,Electric,Two wheeler,1.15,6,82,65,YES,Hub Motor,2,NA,NA,Disc,,Scooters
EeVe Xeniaa,Omjay Eeve, Xeniaa STD,25,79999,Electric,Two wheeler,2.5,4,71,80,YES,,2,NA,NA,Disc,,Scooters
EeVe Xeniaa,Omjay Eeve, Xeniaa 2.0,25,86999,Electric,Two wheeler,1.2,4,71,80,YES,,2,NA,NA,Disc,,Scooters
BattRE Electric LoEV,Battre loev, LoEV,43,59900,Electric,Two wheeler,1.44,2.5,60,60,YES,Hub Motor,2,NA,NA,Disc,150,Scooters
BattRE Electric gps,BattRE Electric, gps,50,64990,Electric,Two wheeler,2,2.5,60,110,YES,Hub Motor,2,NA,NA,Disc,,Scooters
PURE EV Epluto 7G,PURE EV ,Epluto 7G,60,92999,Electric,Two wheeler,2.5,4,79,120,YES,Hub Motor,2,NA,NA,Disc,60,Scooters
Ampere V48,Ampere,V48,25,38000,Electric,Two wheeler,1.29,10,84,50,YES,Hub Motor,2,NA,NA,Disc,16,Scooters
Ampere REO,Ampere,REO,25,49579,Electric,Two wheeler,0.96,6,70,60,YES,Hub Motor,2,NA,NA,Disc,16,Scooters
Ola S1 pro,Ola, S1 pro,115,124000,Electric,Two wheeler,3.97,6.5,125,181,YES,,2,NA,NA,Disc,58,Scooters
Ola S1,Ola,s1,90,94999,Electric,Two wheeler,2.98,5,121,121,YES,,2,NA,NA,Disc,58,Scooters
TVS iQube Electric,TVS, iQube Electric,78,165000,Electric,Two wheeler,4.56,4,128,145,YES,,2,NA,NA,Disc,33,Scooters
Amo Mobility S-Pin,Amo Mobility, S-Pin,25,"43,606",Electric,Two wheeler,2,6,54,75,YES,,2,NA,NA,Disc,125,Scooters
Andaaz ,Lectrix EV,Andaaz,25,"1,35,000",Electric,Three Wheeler,,8,740,80,YES,direct drive,4,NA,NA,,,Rickshaws
Gatti E-rickshaw,Entice Impex, Gatti LX,25,"90,000",Electric,Three Wheeler,1.68,8,720,80,YES,direct drive,6,NA,NA,,,Rickshaws
COMFORT DLX,Lohia,COMFORT DLX,25,155000,Electric,Three Wheeler,1.2,8,735,100,YES,direct drive,4,NA,NA, Hydraulic  ,42,Rickshaws
Mahindra Treo,Mahindra ,Treo,55,187000,Electric,Three Wheeler,7.37,4,377,141,YES,direct drive,4,NA,NA, Hydraulic  ,19,Cargo three wheeler
Kerala Neem G,Kerala Automobiles, Neem G,,285000,Electric,Three Wheeler,1.08,4,310,90,YES,,4,NA,NA,,,Rickshaws
Omega Seiki Mobility RAGE,Omega Seiki Mobility,RAGE,45,340000,Electric,Three Wheeler,10.8,5,,128,YES,,2,NA,NA,,625,Cargo three wheeler
Ele 1000 E,Ele , 1000 E,55,66950,Electric,Four Wheeler,0.96,8,,80,YES,,4,NA,NA,,21,Cars
Tata Nexon EV,Tata,Dark XZ Plus LUX ,120,1740000,Electric,Four Wheeler,30.2,8.5,1400,312,YES,FWD,5,350,2,Disc,245,Cars
Tata Tigor EV,Tata,XZ Plus Dual Tone ,120,700000,Electric,Four Wheeler,,,982,732,YES,FWD,5,242,2,,113,Cars
MG ZS EV,MG ZS,Exclusive ,140,2588000,Electric,Four Wheeler,50.3,1,,461,YES,FWD,5,448,6,,,Cars
